CreateDate,Account,CustomerID,CustomerType,AccountNumber,Billing Address,Service Address,ServiceType,RatePlan,AccountStatus
2024-12-24,101570,1401,Residential,RESI-101570,1024 SunAve  Fortmouth  Michigan USA,1024 SunAve  Fortmouth  Michigan USA,Electric,fixed-rate,Active
2024-07-04,104441,3972,Small Commercial,SMALLCOMM-104441,1026 GrandLn  LDjpevhside  Texas USA,1026 GrandLn  LDjpevhside  Texas USA,Gas,variable-rate,Active
2021-01-28,104451,3981,Residential,RESI-104451,1028 KingRd  EastHavenford  Texas USA,1028 KingRd  EastHavenford  Texas USA,Electric,time-of-use,Active
2021-11-27,103438,3069,Residential,RESI-103438,103 OakSt  Stonemont  Texas USA,103 OakSt  Stonemont  Texas USA,Gas,variable-rate,Active
2023-08-02,100855,766,Residential,RESI-100855,1032 KingPl  Stonefield  Texas USA,1032 KingPl  Stonefield  Texas USA,Electric,variable-rate,Active
2022-05-04,106067,766,Residential,RESI-106067,1032 KingPl  Stonefield  Texas USA,1032 KingPl  Stonefield  Texas USA,Gas,variable-rate,Active
2025-03-11,101437,1285,Residential,RESI-101437,1032 StonePl  GreenHamton  Ohio USA,1032 StonePl  GreenHamton  Ohio USA,Electric,fixed-rate,Inactive
2024-01-06,102910,2597,Residential,RESI-102910,1033 PineTerrace  Greenwood  Pennsylvania USA,1033 PineTerrace  Greenwood  Pennsylvania USA,Gas,fixed-rate,Suspended
2023-12-01,100220,198,Residential,RESI-100220,1039 CedarTerrace  UNlvmqton  Massachusetts USA,1039 CedarTerrace  UNlvmqton  Massachusetts USA,Electric,time-of-use,Active
2021-09-18,101824,1621,Commercial,COMM-101824,5394 SilverWay  XJlyaahville  Texas USA,1039 CedarTerrace UNlvmqton Massachusetts USA ,Electric,fixed-rate,Closed
2021-03-28,103237,2884,Commercial,COMM-103237,104 PinePl  SouthPointbury  California USA,1079 PineDr GrandWickburg Texas USA ,Water,fixed-rate,Active
2019-12-23,102289,2035,Small Commercial,SMALLCOMM-102289,1041 CedarRd  FairMoreford  Texas USA,108 StoneSt SSyrvghrvmouth Texas USA ,Gas,time-of-use,Closed
2022-07-17,102308,2052,Residential,RESI-102308,1046 LakeTerrace  Eastbury  Massachusetts USA,1080 ElmDr SouthHavenwood Texas USA ,Electric,fixed-rate,Active
2022-07-17,100707,634,Residential,RESI-100707,1047 KingRd  Portmont  Texas USA,1084 GrandBlvd GreenBrookdale Texas USA ,Electric,variable-rate,Active
2024-03-28,100910,815,Residential,RESI-100910,1048 StoneLn  NCebkbury  Alberta Canada,1087 GreenBlvd Mountbury Texas USA ,Electric,variable-rate,Active
2019-05-26,103443,3074,Residential,RESI-103443,1050 GrandSt  Oakton  Texas USA,1087 ParkPl ORdscqqkhill Texas USA ,Gas,time-of-use,Inactive
2019-12-01,104722,4209,Residential,RESI-104722,1050 OakWay  SouthHamview  Texas USA,1087 ParkPl ORdscqqkhill Texas USA ,Electric,time-of-use,Active
2020-03-05,105125,4563,Commercial,COMM-105125,1051 HillWay  BLcbvland  Saskatchewan Canada,1088 SunTerrace OFhfacyport Texas USA ,Electric,time-of-use,Suspended
2020-11-01,100160,146,Residential,RESI-100160,1051 SilverTerrace  Grandbury  Quebec Canada,1091 MapleDr RIsmhyzodmouth Texas USA ,Gas,variable-rate,Active
2023-06-14,102902,2589,Residential,RESI-102902,1057 PineDr  WQqtojuhomont  New York USA,1094 ElmDr PZcvycxjccrest Michigan USA ,Gas,variable-rate,Inactive
2022-06-14,105358,4769,Residential,RESI-105358,106 ElmRd  Silvercrest  Massachusetts USA,1094 LakeCourt MountLeywood Texas USA ,Electric,variable-rate,Suspended
2022-03-02,101981,1759,Residential,RESI-101981,106 KingSt  Fortfield  Indiana USA,1100 HillDr EastGateville Ontario Canada ,Electric,time-of-use,Active
2021-01-13,105584,4981,Small Commercial,SMALLCOMM-105584,1060 HillPl  Fortmont  Texas USA,1104 RiverAve CMdqzbbury Delaware USA ,Gas,variable-rate,Active
2025-01-26,101481,1323,Small Commercial,SMALLCOMM-101481,1062 GrandBlvd  NUibzacrest  Manitoba Canada,1106 ElmSt AXghyvdale Manitoba Canada ,Gas,variable-rate,Closed
2022-11-06,102892,2581,Residential,RESI-102892,1062 MapleBlvd  RCgopgjfield  Delaware USA,1106 GrandPl CRtciburg British Columbia Canada,Electric,time-of-use,Inactive
2023-05-15,105116,4555,Commercial,COMM-105116,1062 ParkCourt  FairHamford  Delaware USA,1106 RiverTerrace WestMoreview Texas USA ,Gas,time-of-use,Active
2020-02-07,100995,894,Small Commercial,SMALLCOMM-100995,1065 HillPl  TFaehcvihill  Texas USA,1108 KingBlvd PineSondale Maryland USA ,Electric,variable-rate,Suspended
2019-09-21,103156,2811,Commercial,COMM-103156,1069 GrandAve  FAjxwbridge  Texas USA,1109 SunSt YApmflridge Delaware USA ,Gas,time-of-use,Active
2023-09-07,103473,3101,Residential,RESI-103473,1071 GreenTerrace  Lakeford  Michigan USA,111 GreenDr Stoneford Texas USA ,Electric,time-of-use,Active
2020-01-31,102015,1790,Residential,RESI-102015,1074 ElmCourt  PortWickdale  Texas USA,111 GreenDr Stoneford Texas USA ,Gas,fixed-rate,Closed
2024-02-15,102123,1885,Residential,RESI-102123,1077 MapleDr  YGuhbkzland  Texas USA,1110 OakBlvd FairBridgeport New Jersey USA,Electric,time-of-use,Active
2020-10-31,102285,2031,Residential,RESI-102285,1079 GrandLn  IUfupmkbqland  Massachusetts USA,1112 StoneAve Southford Texas USA ,Electric,fixed-rate,Active
2023-11-03,100523,469,Residential,RESI-100523,1079 PineDr  GrandWickburg  Texas USA,1115 ElmDr KUrgkmborough Texas USA ,Water,fixed-rate,Active
2023-10-20,104738,4221,Commercial,COMM-104738,9453 QueenWay  Stonebury  California USA,1115 ElmDr KUrgkmborough Texas USA ,Electric,fixed-rate,Inactive
2020-04-28,103169,2822,Small Commercial,SMALLCOMM-103169,108 StoneSt  SSyrvghrvmouth  Texas USA,1116 StoneWay Greenridge Manitoba Canada ,Water,variable-rate,Active
2020-04-28,102575,2295,Residential,RESI-102575,1080 ElmDr  SouthHavenwood  Texas USA,1119 CedarPl Faircrest Texas USA ,Electric,variable-rate,Active
2025-03-24,103291,2934,Residential,RESI-103291,1084 GrandBlvd  GreenBrookdale  Texas USA,112 SilverTerrace LBroxkjmmouth Ontario Canada ,Electric,fixed-rate,Active
2021-02-06,102539,2261,Small Commercial,SMALLCOMM-102539,1087 GreenBlvd  Mountbury  Texas USA,1121 GrandRd RiverHavenland Texas USA ,Electric,fixed-rate,Active
2022-11-11,100243,221,Small Commercial,SMALLCOMM-100243,1087 ParkPl  ORdscqqkhill  Texas USA,1123 OakPl NewWickton Texas USA ,Gas,fixed-rate,Active
2022-11-20,102031,1804,Commercial,COMM-102031,7627 GrandLn  EastMoreridge  New York USA,1127 SilverPl Southton Texas USA ,Electric,time-of-use,Active
2023-03-24,104212,3766,Residential,RESI-104212,1088 SunTerrace  OFhfacyport  Texas USA,1128 GrandWay Rosewood Ontario Canada ,Gas,fixed-rate,Active
2020-02-20,102436,2162,Residential,RESI-102436,1091 MapleDr  RIsmhyzodmouth  Texas USA,1132 ElmCourt WestHavenridge Texas USA ,Electric,fixed-rate,Closed
2023-06-22,100794,710,Commercial,COMM-100794,1094 ElmDr  PZcvycxjccrest  Michigan USA,1135 SilverDr ClearHaventon Illinois USA ,Water,variable-rate,Active
2022-09-05,104376,3910,Residential,RESI-104376,1094 LakeCourt  MountLeywood  Texas USA,1139 GreenSt LWopxeykiborough Texas USA ,Electric,time-of-use,Active
2021-03-08,102147,1907,Residential,RESI-102147,1100 HillDr  EastGateville  Ontario Canada,1139 GreenSt LWopxeykiborough Texas USA ,Electric,variable-rate,Active
2020-02-17,102174,1931,Small Commercial,SMALLCOMM-102174,1104 RiverAve  CMdqzbbury  Delaware USA,114 QueenBlvd NewSonhill Michigan USA ,Gas,fixed-rate,Active
2019-03-26,103665,3274,Residential,RESI-103665,1106 ElmSt  AXghyvdale  Manitoba Canada,114 QueenBlvd NewSonhill Michigan USA ,Electric,time-of-use,Active
2022-08-30,102048,1818,Residential,RESI-102048,1106 GrandPl  CRtciburg  British Columbia Canada,114 QueenSt EastLeybury Texas USA ,Gas,time-of-use,Closed
2023-01-01,102255,2003,Small Commercial,SMALLCOMM-102255,1106 RiverTerrace  WestMoreview  Texas USA,114 QueenSt EastLeybury Texas USA ,Electric,fixed-rate,Active
2024-01-31,102181,1938,Residential,RESI-102181,1108 KingBlvd  PineSondale  Maryland USA,1142 SilverTerrace RoseBridgeton Saskatchewan Canada ,Water,variable-rate,Active
2019-10-03,103977,3557,Residential,RESI-103977,1109 SunSt  YApmflridge  Delaware USA,1143 HillCourt GrandMorewood British Columbia Canada,Electric,variable-rate,Suspended
2025-09-08,105251,4673,Residential,RESI-105251,111 GreenDr  Stoneford  Texas USA,1143 Hillcrest Dr Massachusetts USA ,Electric,fixed-rate,Inactive
2019-08-27,106029,4673,Residential,RESI-106029,111 GreenDr  Stoneford  Texas USA,1147 SilverRd ONpibwaaiview Illinois USA ,Electric,fixed-rate,Active
2022-07-02,101551,1386,Small Commercial,SMALLCOMM-101551,1110 OakBlvd  FairBridgeport  New Jersey USA,115 ElmWay IXcpanfdland British Columbia Canada,Electric,time-of-use,Active
2022-01-25,102801,2499,Residential,RESI-102801,1112 StoneAve  Southford  Texas USA,115 GreenRd Southdale Texas USA ,Electric,variable-rate,Active
2019-07-18,104363,3899,Residential,RESI-104363,1115 ElmDr  KUrgkmborough  Texas USA,115 LakeTerrace Northridge Texas USA ,Electric,variable-rate,Active
2025-03-11,106032,3899,Residential,RESI-106032,1115 ElmDr  KUrgkmborough  Texas USA,1152 KingBlvd Stonefield Quebec Canada ,Gas,fixed-rate,Active
2019-05-18,102719,2423,Residential,RESI-102719,1116 StoneWay  Greenridge  Manitoba Canada,1152 KingBlvd Stonefield Quebec Canada ,Electric,fixed-rate,Active
2024-01-18,102859,2548,Small Commercial,SMALLCOMM-102859,1119 CedarPl  Faircrest  Texas USA,1154 LakeSt Lakeburg Texas USA ,Electric,variable-rate,Active
2024-09-05,104969,4427,Residential,RESI-104969,112 SilverTerrace  LBroxkjmmouth  Ontario Canada,1155 ParkAve LakePointbury Texas USA ,Electric,variable-rate,Closed
2021-05-26,103388,3021,Residential,RESI-103388,1121 GrandRd  RiverHavenland  Texas USA,1156 ElmCourt FairBrookview British Columbia Canada,Electric,variable-rate,Active
2021-10-28,100850,761,Residential,RESI-100850,1123 OakPl  NewWickton  Texas USA,116 ParkLn KAbkikdale Texas USA ,Gas,variable-rate,Active
2019-10-23,101564,1397,Residential,RESI-101564,1127 SilverPl  Southton  Texas USA,1160 StoneLn PortHavenview New York USA,Electric,time-of-use,Active
2024-12-03,105284,4700,Residential,RESI-105284,1128 GrandWay  Rosewood  Ontario Canada,1162 ElmWay Rosehaven Texas USA ,Electric,time-of-use,Active
2020-01-30,104064,3633,Residential,RESI-104064,1132 ElmCourt  WestHavenridge  Texas USA,1165 RiverDr Grandland California USA ,Electric,fixed-rate,Inactive
2023-04-14,103441,3072,Residential,RESI-103441,1135 SilverDr  ClearHaventon  Illinois USA,1166 OakRd JOnlraukborough New Jersey USA,Electric,time-of-use,Active
2020-06-15,100090,79,Residential,RESI-100090,1139 GreenSt  LWopxeykiborough  Texas USA,1166 SilverLn PDtzzland Texas USA ,Electric,time-of-use,Suspended
2025-05-26,100877,786,Commercial,COMM-100877,9545 PineBlvd  Granddale  Illinois USA,1168 PineDr Greenridge Texas USA ,Electric,fixed-rate,Active
2025-07-23,100328,295,Residential,RESI-100328,114 QueenBlvd  NewSonhill  Michigan USA,1170 SunPl Silvercrest Michigan USA ,Electric,fixed-rate,Inactive
2023-06-26,102942,2624,Commercial,COMM-102942,1746 StonePl  VKmrgdhburg  Texas USA,1177 ParkCourt StoneHavenridge Illinois USA ,Gas,variable-rate,Active
2025-02-01,100432,387,Residential,RESI-100432,114 QueenSt  EastLeybury  Texas USA,1179 PineBlvd XYfaandhaven Texas USA ,Electric,variable-rate,Active
2023-11-19,104008,3585,Commercial,COMM-104008,509 HillDr  Fortford  Texas USA,1179 PineBlvd XYfaandhaven Texas USA ,Electric,fixed-rate,Inactive
2019-12-16,105493,4896,Residential,RESI-105493,1142 SilverTerrace  RoseBridgeton  Saskatchewan Canada,118 QueenDr AQqcsburg New York USA,Electric,time-of-use,Active
2023-05-13,105461,4868,Small Commercial,SMALLCOMM-105461,1143 HillCourt  GrandMorewood  British Columbia Canada,1184 ParkBlvd TNbvtnport Texas USA ,Electric,variable-rate,Suspended
2019-04-24,104016,3590,Commercial,COMM-104016,742 GreenWay  PineSondale  Texas USA,1186 GrandTerrace RoseHavenford California USA ,Electric,fixed-rate,Inactive
2021-03-21,100856,767,Residential,RESI-100856,1147 SilverRd  ONpibwaaiview  Illinois USA,1188 StonePl IUfupmkbqland Massachusetts USA ,Electric,variable-rate,Active
2023-05-28,103724,3327,Residential,RESI-103724,115 ElmWay  IXcpanfdland  British Columbia Canada,1189 GreenBlvd FNgnuawmouth Ohio USA ,Gas,variable-rate,Active
2022-01-05,104168,3727,Residential,RESI-104168,115 GreenRd  Southdale  Texas USA,119 LakeCourt FFkioton Texas USA ,Electric,time-of-use,Active
2020-06-22,101256,1127,Residential,RESI-101256,115 LakeTerrace  Northridge  Texas USA,1197 LakeDr BEebawgwood Ohio USA ,Electric,fixed-rate,Active
2024-05-15,103276,2920,Residential,RESI-103276,1152 KingBlvd  Stonefield  Quebec Canada,1197 RiverWay NewHamridge Alberta Canada ,Electric,fixed-rate,Inactive
2023-09-24,106017,2920,Residential,RESI-106017,1152 KingBlvd  Stonefield  Quebec Canada,1198 HillTerrace UEvfgnknford Ohio USA ,Electric,fixed-rate,Active
2020-11-03,102489,2214,Residential,RESI-102489,1154 LakeSt  Lakeburg  Texas USA,1199 CedarWay BrightWickwood New York USA,Electric,variable-rate,Closed
2022-11-09,101131,1014,Residential,RESI-101131,1155 ParkAve  LakePointbury  Texas USA,12 MaplePl KRjwbtjbury Massachusetts USA ,Electric,variable-rate,Active
2020-02-09,103775,3376,Residential,RESI-103775,1156 ElmCourt  FairBrookview  British Columbia Canada,120 KingLn BUcawton Texas USA ,Electric,variable-rate,Active
2022-03-01,102712,2417,Small Commercial,SMALLCOMM-102712,116 ParkLn  KAbkikdale  Texas USA,120 KingLn BUcawton Texas USA ,Gas,fixed-rate,Suspended
2023-08-10,105502,4905,Small Commercial,SMALLCOMM-105502,1160 StoneLn  PortHavenview  New York USA,120 SunLn ETvrgkridge California USA ,Electric,fixed-rate,Active
2020-05-05,104405,3939,Residential,RESI-104405,1162 ElmWay  Rosehaven  Texas USA,1202 HillSt PNddksborough Texas USA ,Electric,fixed-rate,Closed
2024-04-24,101898,1685,Residential,RESI-101898,1165 RiverDr  Grandland  California USA,1203 GrandLn NewWickside Quebec Canada ,Water,time-of-use,Active
2024-11-28,103915,3500,Residential,RESI-103915,1166 OakRd  JOnlraukborough  New Jersey USA,1204 MapleCourt NewBridgeton Ontario Canada ,Electric,fixed-rate,Active
2022-12-04,105267,4686,Residential,RESI-105267,1166 SilverLn  PDtzzland  Texas USA,1205 ElmCourt OBwgzuqjnland Delaware USA ,Electric,fixed-rate,Active
2022-12-21,102672,2384,Small Commercial,SMALLCOMM-102672,1168 PineDr  Greenridge  Texas USA,1205 HillTerrace Riverside Texas USA ,Electric,fixed-rate,Active
2022-04-21,104491,4015,Residential,RESI-104491,1170 SunPl  Silvercrest  Michigan USA,1206 ElmWay Lakemouth Texas USA ,Electric,variable-rate,Active
2020-07-25,100805,721,Residential,RESI-100805,1177 ParkCourt  StoneHavenridge  Illinois USA,1207 QueenDr FGzxsford Maryland USA ,Gas,time-of-use,Active
2024-07-25,100111,100,Commercial,COMM-100111,1179 PineBlvd  XYfaandhaven  Texas USA,1209 PineBlvd KAbkikdale Texas USA ,Electric,variable-rate,Active
2020-08-03,101025,918,Commercial,COMM-101025,6269 ElmPl  RiverPointridge  Texas USA,121 PineLn FOqstopysborough Texas USA ,Gas,variable-rate,Suspended
2021-05-11,100934,837,Small Commercial,SMALLCOMM-100934,118 QueenDr  AQqcsburg  New York USA,1213 ParkLn Greenmouth Texas USA ,Electric,variable-rate,Active
2024-11-04,102223,1972,Residential,RESI-102223,1184 ParkBlvd  TNbvtnport  Texas USA,1216 SilverCourt NSwvvsnhaven Texas USA ,Gas,fixed-rate,Active
2020-07-22,104318,3856,Small Commercial,SMALLCOMM-104318,1186 GrandTerrace  RoseHavenford  California USA,1218 QueenTerrace IKzshboacrest Texas USA ,Water,time-of-use,Active
2022-06-23,104046,3615,Small Commercial,SMALLCOMM-104046,1188 StonePl  IUfupmkbqland  Massachusetts USA,1218 SilverCourt ClearBridgeland Texas USA ,Electric,variable-rate,Active
2021-02-21,101575,1406,Residential,RESI-101575,1189 GreenBlvd  FNgnuawmouth  Ohio USA,1221 GrandCourt Fairmouth Michigan USA ,Electric,time-of-use,Active
2021-02-28,104360,3897,Residential,RESI-104360,119 LakeCourt  FFkioton  Texas USA,1221 GrandCourt Fairmouth Michigan USA ,Electric,fixed-rate,Active
2020-04-23,105233,4657,Small Commercial,SMALLCOMM-105233,1197 LakeDr  BEebawgwood  Ohio USA,1221 GrandSt Roseborough Delaware USA ,Electric,variable-rate,Active
2022-10-23,102844,2536,Residential,RESI-102844,1197 RiverWay  NewHamridge  Alberta Canada,1223 HillPl OakWickland Texas USA ,Electric,variable-rate,Active
2019-09-27,103336,2972,Residential,RESI-103336,1198 HillTerrace  UEvfgnknford  Ohio USA,1223 HillPl OakWickland Texas USA ,Gas,variable-rate,Closed
2021-08-22,102298,2042,Residential,RESI-102298,1199 CedarWay  BrightWickwood  New York USA,1227 KingLn GreenSonton British Columbia Canada,Water,variable-rate,Suspended
2023-12-20,103405,3037,Residential,RESI-103405,12 MaplePl  KRjwbtjbury  Massachusetts USA,123 GreenCourt Grandmont Illinois USA ,Electric,fixed-rate,Active
2025-01-21,100353,318,Residential,RESI-100353,120 KingLn  BUcawton  Texas USA,123 ParkBlvd Roseport Texas USA ,Electric,variable-rate,Active
2020-08-01,103209,2859,Commercial,COMM-103209,7322 MapleRd  AHldcdale  New York USA,1232 CedarWay Oakmouth Quebec Canada ,Electric,variable-rate,Closed
2019-03-24,102460,2186,Residential,RESI-102460,120 SunLn  ETvrgkridge  California USA,1238 MapleRd Fairborough Texas USA ,Electric,time-of-use,Closed
2020-01-01,102395,2126,Residential,RESI-102395,1202 HillSt  PNddksborough  Texas USA,1238 MapleRd Fairborough Texas USA ,Electric,fixed-rate,Active
2021-03-14,102649,2363,Residential,RESI-102649,1203 GrandLn  NewWickside  Quebec Canada,1239 ElmTerrace EMoknville New York USA,Electric,fixed-rate,Active
2019-03-19,100858,769,Commercial,COMM-100858,1204 MapleCourt  NewBridgeton  Ontario Canada,1239 MapleRd NEuibmont New York USA,Gas,fixed-rate,Active
2023-03-25,103690,3295,Residential,RESI-103690,1205 ElmCourt  OBwgzuqjnland  Delaware USA,124 SunDr PortWickhill New York USA,Gas,variable-rate,Inactive
2025-09-09,101963,1742,Residential,RESI-101963,1205 HillTerrace  Riverside  Texas USA,1240 StoneBlvd PortGatewood Texas USA ,Gas,fixed-rate,Active
2020-02-09,101632,1457,Residential,RESI-101632,1206 ElmWay  Lakemouth  Texas USA,1251 SunSt StoneWickbridge New York USA,Water,time-of-use,Active
2023-03-22,101852,1644,Residential,RESI-101852,1207 QueenDr  FGzxsford  Maryland USA,1253 KingDr SouthMoreburg Saskatchewan Canada ,Electric,time-of-use,Active
2022-08-16,103731,3334,Residential,RESI-103731,1209 PineBlvd  KAbkikdale  Texas USA,1254 Pine Ave New York USA,Electric,fixed-rate,Inactive
2021-05-14,101936,1720,Residential,RESI-101936,121 PineLn  FOqstopysborough  Texas USA,1256 SunPl QKusxhaven New Jersey USA,Electric,variable-rate,Closed
2020-07-06,102228,1977,Small Commercial,SMALLCOMM-102228,1213 ParkLn  Greenmouth  Texas USA,1257 RiverAve KPmyieanhill Texas USA ,Gas,variable-rate,Active
2025-09-16,104999,4453,Small Commercial,SMALLCOMM-104999,1216 SilverCourt  NSwvvsnhaven  Texas USA,1258 MapleTerrace SilverValeburg Ohio USA ,Gas,fixed-rate,Active
2020-08-14,103821,3417,Residential,RESI-103821,1218 QueenTerrace  IKzshboacrest  Texas USA,1259 SunBlvd NXbbbwborough New York USA,Electric,variable-rate,Suspended
2023-12-28,101401,1255,Commercial,COMM-101401,1218 SilverCourt  ClearBridgeland  Texas USA,1261 GrandTerrace Newside Texas USA ,Electric,fixed-rate,Active
2023-12-04,100361,324,Small Commercial,SMALLCOMM-100361,1221 GrandCourt  Fairmouth  Michigan USA,1263 HillWay Westhaven Texas USA ,Electric,variable-rate,Closed
2022-08-09,103319,2960,Commercial,COMM-103319,7651 KingBlvd  BrightGateport  Indiana USA,1263 PineWay NewHammouth British Columbia Canada,Gas,variable-rate,Suspended
2020-08-26,102872,2561,Residential,RESI-102872,1221 GrandSt  Roseborough  Delaware USA,1267 MapleCourt Eastmont Delaware USA ,Electric,fixed-rate,Active
2020-01-08,104025,3597,Residential,RESI-104025,1223 HillPl  OakWickland  Texas USA,1267 MapleCourt Eastmont Delaware USA ,Electric,time-of-use,Inactive
2021-12-21,106078,3597,Residential,RESI-106078,1223 HillPl  OakWickland  Texas USA,1268 MapleCourt WestSonside Michigan USA ,Electric,variable-rate,Active
2023-05-09,104560,4073,Residential,RESI-104560,1227 KingLn  GreenSonton  British Columbia Canada,1268 RiverTerrace Northville Texas USA ,Electric,variable-rate,Active
2023-04-12,101762,1565,Residential,RESI-101762,123 GreenCourt  Grandmont  Illinois USA,1272 HillDr SouthGateland Delaware USA ,Gas,variable-rate,Active
2022-05-09,104673,4170,Residential,RESI-104673,123 ParkBlvd  Roseport  Texas USA,1272 SilverTerrace NorthWickhaven New Jersey USA,Electric,time-of-use,Inactive
2024-08-08,102651,2365,Residential,RESI-102651,1232 CedarWay  Oakmouth  Quebec Canada,1272 SilverTerrace NorthWickhaven New Jersey USA,Gas,variable-rate,Active
2022-03-24,106118,4305,Residential,RESI-106118,1238 MapleRd  Fairborough  Texas USA,1275 RiverBlvd EastBrookmouth Texas USA ,Electric,time-of-use,Active
2023-08-04,104837,4305,Residential,RESI-104837,1238 MapleRd  Fairborough  Texas USA,1279 GrandAve SilverLeyport Texas USA ,Gas,fixed-rate,Suspended
2020-02-12,102919,2606,Residential,RESI-102919,1239 ElmTerrace  EMoknville  New York USA,1279 ParkRd QVhbpland Indiana USA ,Gas,variable-rate,Active
2021-03-13,102401,2131,Residential,RESI-102401,1239 MapleRd  NEuibmont  New York USA,1279 ParkRd QVhbpland Indiana USA ,Electric,variable-rate,Active
2025-05-21,102025,1799,Small Commercial,SMALLCOMM-102025,124 SunDr  PortWickhill  New York USA,128 ParkDr Riverbury Michigan USA ,Gas,variable-rate,Active
2020-10-02,101332,1191,Small Commercial,SMALLCOMM-101332,1240 StoneBlvd  PortGatewood  Texas USA,1280 MapleLn ClearBrookland Texas USA ,Gas,fixed-rate,Active
2020-09-27,105114,4553,Residential,RESI-105114,1251 SunSt  StoneWickbridge  New York USA,1280 SunTerrace Northview Delaware USA ,Electric,variable-rate,Suspended
2021-12-02,105557,4954,Residential,RESI-105557,1253 KingDr  SouthMoreburg  Saskatchewan Canada,1283 OakTerrace NewSonhaven British Columbia Canada,Electric,time-of-use,Active
2020-11-15,100589,525,Commercial,COMM-100589,1443 MapleSt  BrightHamville  Texas USA,1284 MapleCourt FairMoreford Texas USA ,Electric,fixed-rate,Inactive
2021-03-16,102079,1848,Residential,RESI-102079,1256 SunPl  QKusxhaven  New Jersey USA,1284 StoneCourt JSgibfpaton Massachusetts USA ,Water,variable-rate,Active
2019-06-08,103598,3215,Residential,RESI-103598,1257 RiverAve  KPmyieanhill  Texas USA,1291 RiverDr Newville Texas USA ,Electric,fixed-rate,Active
2019-03-24,103344,2980,Residential,RESI-103344,1258 MapleTerrace  SilverValeburg  Ohio USA,1296 GrandCourt Forthaven Texas USA ,Gas,fixed-rate,Closed
2024-12-05,104177,3733,Commercial,COMM-104177,1259 SunBlvd  NXbbbwborough  New York USA,1297 SilverWay NJdrgborough Michigan USA ,Electric,variable-rate,Inactive
2020-06-26,103152,2807,Small Commercial,SMALLCOMM-103152,1261 GrandTerrace  Newside  Texas USA,1298 KingDr VSofmndside Texas USA ,Electric,variable-rate,Active
2020-11-26,104515,4036,Residential,RESI-104515,1263 HillWay  Westhaven  Texas USA,1298 KingDr VSofmndside Texas USA ,Electric,variable-rate,Active
2023-09-16,101054,944,Commercial,COMM-101054,1263 PineWay  NewHammouth  British Columbia Canada,130 MapleRd Mountport Texas USA ,Electric,time-of-use,Closed
2024-09-24,100195,177,Commercial,COMM-100195,1267 MapleCourt  Eastmont  Delaware USA,130 MapleRd Mountport Texas USA ,Electric,fixed-rate,Suspended
2021-10-01,101650,1470,Commercial,COMM-101650,8544 ElmTerrace  DQidwlbury  Texas USA,1301 StoneWay NNvhcsvlbury Texas USA ,Electric,time-of-use,Active
2021-07-29,102360,2093,Residential,RESI-102360,1268 MapleCourt  WestSonside  Michigan USA,1305 RiverAve WestSonbury Indiana USA ,Gas,fixed-rate,Active
2023-10-21,101041,932,Residential,RESI-101041,1268 RiverTerrace  Northville  Texas USA,1306 GrandLn NGlfyymouth Texas USA ,Electric,fixed-rate,Active
2025-05-19,103429,3061,Small Commercial,SMALLCOMM-103429,1272 HillDr  SouthGateland  Delaware USA,1306 LakePl OakLeybury Texas USA ,Electric,time-of-use,Active
